title;latitude;longitude;image;description
1;29,516663;40,443607;;
1;27,977673;41,868859;;
1;29,366767;41,050033;;
1;28,881346;40,99921;;
1;28,672146;40,16125;;
1;35,329253;37,05837;;
1;35,160065;37,152894;;
1;35,996027;37,319375;;
1;35,966766;37,324375;;
1;36,822558;37,335913;;
1;36,895206;37,508397;;
1;29,92091;37,814634;;
1;29,819665;37,776804;;
1;29,786681;37,849695;;
1;30,777617;36,870867;;
1;30,727213;36,963957;;
1;30,597433;36,83095;;
1;30,294378;36,317132;;
1;30,307393;36,324072;;
1;30,846743;36,875311;;
1;32,173033;36,417917;;
1;32,275183;36,292583;;
1;32,291033;36,290533;;
1;32,2887;36,261617;;
1;29,958147;36,228717;;
1;30,581577;37,109123;;
1;34,086467;37,538983;;
1;30,880116;38,141306;;
1;30,873716;37,815213;;
1;29,657679;37,52915;;
1;30,061001;37,649803;;
1;32,740082;39,879806;;
1;40,070778;40,926371;;
1;35,629819;36,747551;;
1;26,959698;38,487612;;
1;28,621344;36,793934;;
1;32,87165;36,078141;;
1;26,566391;38,309294;;
1;28,784003;36,691404;;
1;42,23409;38,640661;;
1;29,299954;38,226886;;
1;28,385568;37,128692;;
1;29,917858;38,262771;;
1;30,022439;37,573207;;
1;29,963762;37,366585;;
1;30,837995;38,416416;;
1;30,05655;37,451833;;
1;28,315167;37,809833;;
1;30,47022;41,135391;;
1;30,095556;38,123889;;
1;31,559444;39,010592;;
1;30,930709;36,879487;;
1;27,901958;37,711108;;
1;35,151667;37,218167;;
1;35,838927;37,248714;;
1;35,939933;37,3553;;
1;36,107439;37,366733;;
1;31,446606;37,679456;;
1;30,880009;37,433022;;
1;40,249007;37,918903;;
1;39,939844;38,016532;;
1;40,446207;37,651868;;
1;40,53532;37,847328;;
1;38,514797;37,348845;;
1;38,339974;37,751277;;
1;38,872719;37,044559;;
1;36,141065;36,183674;;
1;36,017162;36,153051;;
1;28,718074;36,725753;;
1;29,038145;36,701062;;
1;31,350695;36,825117;;
1;36,042217;36,13545;;
1;37,10175;37,266167;;
1;28,032747;37,735519;;
1;28,521772;37,576623;;
1;29,853022;38,322263;;
1;27,368265;38,710595;;
1;27,177509;38,628586;;
1;30,23907;40,691608;;
1;30,142082;40,716868;;
1;43,319281;38,513695;;
1;30,920266;38,120131;;
1;31,403186;37,81201;;
1;31,414667;37,755667;;
1;31,440167;37,741167;;
1;30,427698;37,419717;;
1;30,046833;38,205167;;
1;27,501165;37,703358;;
1;30,272392;38,07665;;
1;27,373345;37,510179;;
1;27,9665;38,700833;;
1;28,053159;38,558255;;
1;31,021667;36,927167;;
1;30,9075;37,012333;;
1;30,888932;37,017083;;
1;36,212177;36,679859;;
1;35,077029;36,681098;;
1;36,24665;36,432915;;
1;35,400697;36,683361;;
1;35,495269;36,649011;;
1;35,325872;36,944885;;
1;36,490111;36,749099;;
1;35,483238;36,917258;;
1;36,518199;36,335072;;
1;35,159131;36,728366;;
1;36,207318;36,275783;;
2;46,429196;6,482934;;
2;49,73;15,92;;
2;41,2;22,75;;
2;50,81;7,18;;
2;38,59;21,47;;
2;41,11;23,05;;
2;48,84;14,94;;
2;49,31;17,38;;
2;50,05;10,94;;
2;44,87;7,68;;
2;47,4;5,54;;
2;48,42;10,03;;
2;49,17;14,22;;
2;50,1;11,37;;
2;45,38;4,75;;
2;49,45;17,41;;
2;40,66;23,54;;
2;50,16;16,05;;
2;46,03;9,12;;
2;50,12;12,53;;
2;50,11;12,4;;
2;48,7;14,03;;
2;50,32;11,91;;
2;49,86;18,36;;
2;49,09;14,36;;
2;50,51;14,16;;
2;49,77;18,31;;
2;46,33;30,1;;
2;45,78;4,81;;
2;49,65;17,24;;
2;53,05;14,32;;
2;53,05;11,35;;
2;49,63;17,94;;
2;50,54;15,09;;
2;50,35;15,93;;
2;49,54;8,42;;
2;48,76;16,87;;
2;49,59;18,61;;
2;49,46;15,93;;
2;54,34655;-2,93747;;
2;42,12;2,75;;
2;49,831117;8,449717;;
2;50,08583;14,128889;;
2;48,140589;11,594712;;
2;42,366786;23,555858;;
2;43,805056;22,883368;;
2;43,574467;28,566671;;
2;52,812684;5,40469;;
2;47,624075;9,35955;;
2;52,183333;5,066667;;
2;52,946116;5,252255;;
2;52,322878;5,23016;;
2;45,3329;28,2421;;
2;45,164481;29,69733;;
2;47,939993;22,981494;;
2;45,678435;21,301527;;
2;47,994008;11,159902;;
2;45,180788;9,144895;;
2;52,1883;4,51754;;
2;54,2673;18,9411;;
2;48,615719;13,182923;;
2;48,467197;10,91275;;
2;45,644238;9,315603;;
2;51,45;-0,133333;;
2;48,666667;22,25;;
2;53,366667;-2,466667;;
2;48,133333;9,45;;
2;48,866667;2,416667;;
2;45,416667;8,05;;
2;48,533333;13,466667;;
2;48,8;12,966667;;
2;48,233333;9,633333;;
2;50,666667;14,033333;;
2;51,416667;-0,3;;
2;45,55755;19,1951;;
2;45,190967;20,069161;;
2;45,854653;18,917597;;
2;45,370583;19,611228;;
2;45,650269;19,468306;;
2;43,917467;20,215903;;
2;45,698528;19,323239;;
2;45,588356;19,6176;;
2;45,043583;19,819014;;
2;45,839056;19,628036;;
2;45,394233;20,121614;;
2;43,84575;19,679944;;
2;44,843472;19,38975;;
2;44,588778;19,232694;;
2;44,174328;19,402503;;
2;44,395008;19,238525;;
2;44,310697;19,141694;;
2;44,688736;20,059428;;
2;44,911328;19,754964;;
2;44,793044;21,231206;;
2;45,14242;20,263933;;
2;46,099258;19,823531;;
2;44,090081;22,013947;;
2;43,812664;22,22655;;
2;43,886825;20,374761;;
2;42,711036;22,34315;;
2;43,736261;20,7189;;
2;43,611569;21,301425;;
2;44,984672;19,278756;;
2;45,235089;20,399433;;
2;45,840769;20,211308;;
2;43,624831;21,010756;;
2;45,231011;19,722092;;
2;44,731014;20,308119;;
2;44,772308;21,500633;;
2;43,939447;20,6833;;
2;44,957972;19,528342;;
2;44,425572;22,485894;;
2;44,762694;19,709172;;
2;44,706789;20,699319;;
2;44,555053;22,6283;;
2;44,493522;22,196661;;
2;44,850703;20,409475;;
2;44,906742;20,546719;;
2;45,064808;20,374194;;
2;44,959661;20,431625;;
2;45,233528;19,383122;;
2;45,543614;18,930064;;
2;44,500861;20,094111;;
2;43,320361;21,955667;;
2;44,414083;20,392028;;
2;45,135153;19,432761;;
2;43,222769;21,837614;;
2;42,984917;22,03675;;
2;44,250639;19,926083;;
2;43,584472;21,599833;;
2;44,029722;20,880028;;
2;44,593667;21,351139;;
2;44,357194;19,714389;;
2;43,963869;19,403217;;
2;43,212875;21,603281;;
2;43,872806;19,401917;;
2;44,27725;20,513444;;
2;44,399861;20,215667;;
2;44,713778;21,042472;;
2;44,590333;21,090917;;
2;44,224972;21,159333;;
2;42,169972;20,561806;;
2;45,524972;20,070639;;
2;45,334306;20,433833;;
2;41,972697;19,335022;;
2;42,485536;19,23695;;
2;42,376981;19,251394;;
2;42,218914;19,235569;;
2;52,657475;19,135244;;
2;51,663044;21,484694;;
2;51,314611;19,905475;;
2;51,884108;18,71125;;
2;51,704442;18,655292;;
2;52,391625;20,260878;;
2;49,761828;20,663008;;
2;50,433628;16,657114;;
2;50,606806;16,781972;;
2;50,590556;17,0135;;
2;50,657417;17,174972;;
2;50,956258;16,420919;;
2;50,621464;16,657589;;
2;50,725314;16,826186;;
2;50,744378;16,6209;;
2;50,826561;16,48865;;
2;50,8241;16,354011;;
2;50,915169;16,561358;;
2;50,714878;16,363875;;
2;49,843511;18,769572;;
2;49,726244;19,203389;;
2;53,504678;19,308311;;
2;53,518789;18,947486;;
2;53,375431;19,163972;;
2;53,551983;18,774639;;
2;52,788842;19,463114;;
2;53,605022;19,394958;;
2;52,625267;19,6791;;
2;52,809264;19,819253;;
2;52,860142;19,667444;;
2;52,589608;19,533339;;
2;52,954911;19,718736;;
2;50,106819;20,030492;;
2;52,065283;20,638861;;
2;52,021061;20,777136;;
2;52,145431;20,7841;;
2;53,072581;18,819336;;
2;53,134117;19,095644;;
2;50,814053;20,701394;;
2;49,442828;20,264761;;
2;50,896936;20,787544;;
2;51,578619;19,247792;;
2;51,449339;20,476286;;
2;51,458414;18,984942;;
2;51,516439;19,402675;;
2;53,324653;14,802747;;
2;49,944558;18,829128;;
2;53,166731;19,367014;;
2;53,247175;19,611053;;
2;53,2819;19,476517;;
2;53,374008;20,033714;;
2;53,348139;19,744072;;
2;53,463222;19,649842;;
2;53,604969;20,060567;;
2;53,683672;19,794658;;
2;53,36235;22,498072;;
2;53,555519;22,799061;;
2;53,668836;22,759644;;
2;53,626672;22,5058;;
2;53,459236;22,377772;;
2;53,660575;23,450231;;
2;53,430311;23,062711;;
2;53,601072;23,005172;;
2;53,249028;22,448983;;
2;53,555233;23,444081;;
2;52,452103;22,567875;;
2;51,434731;23,242064;;
2;51,409625;23,081256;;
2;51,528342;23,050322;;
2;51,401728;22,940856;;
2;54,013014;21,272506;;
2;54,110192;21,052656;;
2;54,084925;20,624461;;
